20160229,697.7700,710.8900,697.6800,700.3200,2481100
20160301,718.8100,718.8100,699.7700,703.6200,2151400
20160302,718.8500,720.0000,712.0000,719.0000,1629000
20160303,712.4200,719.4500,706.0200,718.6800,1958000
20160304,710.8900,716.4900,706.0200,714.9900,1972100
20160307,695.1600,708.0910,686.9000,706.9000,2985100
20160308,693.9700,703.7900,685.3400,688.5900,2076300
20160309,705.2400,705.6800,694.0000,698.4700,1421500
20160310,712.8200,716.4400,703.3600,708.1200,2833500
20160311,726.8200,726.9200,717.1250,720.0000,1970800
20160314,730.4900,735.5000,725.1500,726.8100,1718300
20160315,728.3300,732.2900,724.7700,726.9200,1721000
20160316,736.0900,737.4700,724.5100,726.3700,1624400
20160317,737.7800,743.0700,736.0000,736.4500,1860800
20160318,737.6000,742.0000,731.8300,741.8600,2980700
20160321,742.0900,742.5000,733.5160,736.5000,1836500
20160322,740.7500,745.0000,737.4600,737.4600,1269700
20160323,738.0600,745.7200,736.1500,742.3600,1432100
20160324,735.3000,737.7470,731.0000,732.0100,1594900
20160328,733.5300,738.9900,732.5000,736.7900,1301300
20160329,744.7700,747.2500,728.7600,734.5900,1903800
20160330,750.5300,757.8800,748.7400,750.1000,1782400
20160331,744.9500,750.8500,740.9400,749.2500,1718800
