20160229,697.7700,710.8900,697.6800,700.3200,2481100
20160301,718.8100,718.8100,699.7700,703.6200,2151400
20160302,718.8500,720.0000,712.0000,719.0000,1629000
20160303,712.4200,719.4500,706.0200,718.6800,1958000
20160304,710.8900,716.4900,706.0200,714.9900,1972100
20160307,695.1600,708.0910,686.9000,706.9000,2985100
20160308,693.9700,703.7900,685.3400,688.5900,2076300
20160309,705.2400,705.6800,694.0000,698.4700,1421500
20160310,712.8200,716.4400,703.3600,708.1200,2833500
20160311,726.8200,726.9200,717.1250,720.0000,1970800
20160314,730.4900,735.5000,725.1500,726.8100,1718300
20160315,728.3300,732.2900,724.7700,726.9200,1721000
20160316,736.0900,737.4700,724.5100,726.3700,1624400
20160317,737.7800,743.0700,736.0000,736.4500,1860800
20160318,737.6000,742.0000,731.8300,741.8600,2980700
20160321,742.0900,742.5000,733.5160,736.5000,1836500
20160322,740.7500,745.0000,737.4600,737.4600,1269700
20160323,738.0600,745.7200,736.1500,742.3600,1432100
20160324,735.3000,737.7470,731.0000,732.0100,1594900
20160328,733.5300,738.9900,732.5000,736.7900,1301300
20160329,744.7700,747.2500,728.7600,734.5900,1903800
20160330,750.5300,757.8800,748.7400,750.1000,1782400
20160331,744.9500,750.8500,740.9400,749.2500,1718800
20160401,749.9100,750.3400,737.0000,738.6000,1576700
20160404,745.2900,752.8000,742.4300,750.0600,1134200
20160405,737.8000,742.8000,735.3700,738.0000,1132300
20160406,745.6900,746.2400,735.5600,735.7700,1053700
20160407,740.2800,747.0000,736.2800,745.3700,1453200
20160408,739.1500,745.4500,735.5500,743.9700,1290800
20160411,736.1000,745.0000,736.0500,743.0200,1220100
20160412,743.0900,743.8300,731.0100,738.0000,1353000
20160413,751.7200,754.3800,744.2610,749.1600,1707100
20160414,753.2000,757.3100,752.7050,754.0100,1135300
20160415,759.0000,761.0000,752.6940,753.9800,1809300
20160418,766.6100,768.0500,757.3000,760.4600,1556000
20160419,753.9300,769.9000,749.3300,769.5100,2030500
20160420,752.6700,758.1320,750.0100,758.0000,1529200
20160421,759.1400,760.4500,749.5500,755.3800,3060500
20160422,718.7700,736.1200,713.6100,726.3000,5951900
20160425,723.1500,723.9300,715.5900,716.1000,1959200
20160426,708.1400,725.7660,703.0260,725.4200,2744600
20160427,705.8400,708.9800,692.3650,707.2900,3098600
20160428,691.0200,714.1700,689.5500,708.2600,2867300
20160429,693.0100,697.6200,689.0000,690.7000,2487700
20160502,698.2100,700.6400,691.0000,697.6300,1645300
20160503,692.3600,697.8400,692.0000,696.8700,1543800
20160504,695.7000,699.7500,689.0100,690.4900,1693500
